DATE,Food,Smoke,Drugs,MedEq,Telcm
196401,0.91,-1.69,3.6,4.64,3.32
196402,1.56,2.64,1.37,4.46,-0.28
196403,1.08,10.37,-1.71,-4.18,-0.9
196404,-1.78,1.83,-1.01,-5.39,0.83
196405,1.73,-0.18,0.5,0.79,-0.39
196406,2.27,-1.54,0.72,-0.91,4.69
196407,0.81,0.41,5.01,2.08,-2.01
196408,-1.12,6.6,-4.52,-0.94,-1.56
196409,2.35,-1.97,2.71,3.09,-1.03
196410,-0.87,-2.06,3.06,0.89,-0.89
196411,0.93,-1.63,1.96,4.34,-2.22
196412,1.06,-4.68,4.32,4.99,3.12
196501,4.15,5.37,7.96,4.6,0.25
196502,0.77,-0.04,2.4,2.67,0.81
196503,-1.21,-0.9,-1.08,0.7,-1.68
196504,2.33,5.61,2.95,3.21,2.33
196505,-0.89,-1.65,-1.38,0.04,2.76
196506,-4.6,-3.4,-5.18,-6.66,-4.17
196507,1.24,1.74,3.47,8.71,-0.37
196508,1.54,9.46,6.1,8.13,1.33
196509,0.26,-2.65,1.52,8.82,1.1
196510,1.03,4.42,3.61,-0.06,-2.27
196511,-0.34,-4.65,3.7,4.6,-4.31
196512,0.05,-1.02,3.91,3.16,-0.84
196601,0.34,2.9,2.42,5.49,-1.3
196602,-0.27,-2.31,-2.12,3.26,0.48
196603,-3.74,-3.38,-1.47,-2.72,-4.84
196604,0.19,-1.07,-0.63,5.09,1.27
196605,-4.04,-3.88,-4.98,-7.49,-2.99
196606,-2.62,-2,0.25,6.82,0.48
196607,-1.54,-0.45,-1.31,-4.51,-1.16
196608,-6.18,-5.45,-8.19,-7.43,-4.6
196609,-1.35,0.38,-0.99,-2.25,-0.56
196610,8.2,6.84,4.92,4.5,9.18
196611,1.27,-3.94,7.02,6.03,-2.83
196612,-1.24,-1.55,-0.59,2.8,2.96
196701,6.26,16.43,5.62,12.26,6.24
196702,0.81,-3.31,0.73,5.86,2.13
196703,3.64,4.91,7.74,8.57,2.97
196704,3.15,3.48,4.12,6.55,0.19
196705,-1.68,-7.56,-5.51,-3.87,-5.67
196706,2.35,6.64,5.84,2.89,2.73
196707,6.83,8.33,4.08,2.11,-6.58
196708,-0.15,-4.88,0.19,3.38,-1.24
196709,2.5,-1.81,2.42,5.65,1.23
196710,-4.24,3.39,-5.77,-0.88,-3.51
196711,-1.47,-5.16,1.15,2.26,0.08
196712,4.39,8.04,0.75,6.2,0.13
196801,-0.44,-0.06,-6.77,-5.65,2.67
196802,-2.7,1.16,-4.05,-5.13,-2.41
196803,-1.12,-1.79,0.08,0.23,-1.12
196804,10.68,5.55,12.7,7.95,2.21
196805,6.27,0.52,2.47,7.85,-0.72
196806,0.96,4.3,2.88,-0.87,4.17
196807,-3.8,-1.38,-4.06,-4.41,-0.2
196808,1.24,-3.19,1.04,-1.14,1.28
196809,5.65,5.71,1.09,-0.45,2.97
196810,1.01,1.56,0.18,-1.21,3.17
196811,5.7,3.04,7.51,11.29,5.4
196812,-1.36,10.3,-1.92,3.61,-6.66
196901,-1,3.64,-0.04,-1.14,1.17
196902,-5.74,-9.5,-5.63,-2.81,-3.33
196903,-0.07,-1.72,2.36,7.99,-0.42
196904,2.4,-1.98,5.04,4.69,7.73
196905,1.51,1.71,1.69,1.67,1.08
196906,-5.74,-5.5,-4.87,-5.82,-4
196907,-6.92,-4.74,-3.37,0.01,-4.5
196908,4.52,3.99,8.22,13.65,1.66
